precursor_timestamp,precursor_open,precursor_high,precursor_low,precursor_close,precursor_volume,precursor_body_ratio,precursor_vol_mult,timestamp,open,high,low,close,volume,move_change_pct
2020-04-28,7772.5000,7778.0000,7663.0000,7743.0000,5082.8650,0.2565,0.3398,2020-04-29,7743.0000,8951.5000,7709.5000,8778.0000,45617.3930,13.3669
2020-07-26,9692.0000,10138.0000,9641.5000,9922.5000,17009.7170,0.4642,2.3926,2020-07-27,9922.5000,11393.0000,9922.5000,11033.0000,42775.5500,11.1917
2020-09-02,11927.5000,11955.5000,11171.0000,11388.5000,11040.8980,0.6871,1.4075,2020-09-03,11388.5000,11465.0000,9915.0000,10145.5000,20538.1920,-10.9145
2020-11-04,14012.0000,14249.0000,13531.0000,14130.0000,17386.4840,0.1643,1.4997,2020-11-05,14130.0000,15758.0000,14100.5000,15594.0000,34017.3980,10.3609
2020-12-15,19276.0000,19585.5000,19057.5000,19414.0000,18348.0600,0.2614,0.9080,2020-12-16,19414.0000,21599.5000,19277.5000,21364.0000,33384.3920,10.0443
2021-01-20,35891.5000,36418.0000,33370.0000,35474.0000,22964.0470,0.1370,0.6354,2021-01-21,35474.0000,35576.5000,30130.0000,30911.5000,46278.6410,-12.8615
2021-02-07,39319.0000,39727.0000,37439.5000,38825.5000,32909.9770,0.2157,1.1114,2021-02-08,38825.5000,46990.0000,38061.0000,46400.0000,58649.4660,19.5091
2021-04-25,50055.5000,50505.0000,47019.0000,49022.5000,21215.3140,0.2963,1.0976,2021-04-26,49022.5000,54327.5000,48723.0000,54017.0000,24963.7900,10.1882
2021-05-11,55801.0000,56843.0000,54512.0000,56684.0000,12969.8770,0.3788,0.6926,2021-05-12,56684.0000,57929.5000,48600.0000,49617.0000,27697.5490,-12.4674
2021-05-18,43543.0000,45815.0000,42317.5000,42903.5000,33957.5480,0.1828,1.4752,2021-05-19,42903.5000,43598.5000,28801.0000,36727.0000,194517.5850,-14.3963
2021-05-19,42903.5000,43598.5000,28801.0000,36727.0000,194517.5850,0.4174,6.0833,2021-05-20,36727.0000,42400.0000,34950.0000,40500.5000,69061.7750,10.2745
2021-05-23,37437.0000,38230.0000,31068.5000,34658.0000,87667.4240,0.3880,2.0290,2021-05-24,34658.0000,39882.5000,34390.5000,38817.0000,54785.8410,12.0001
2021-06-08,33570.5000,34050.0000,30980.0000,33352.5000,96863.2870,0.0710,1.7868,2021-06-09,33352.5000,37556.0000,32379.0000,37414.5000,96764.3660,12.1790
2021-06-20,35528.0000,36149.0000,33338.0000,35608.5000,86335.7790,0.0286,1.3095,2021-06-21,35608.5000,35737.5000,31265.5000,31613.5000,155941.8180,-11.2192
2021-09-06,51641.5000,52753.5000,51083.5000,52588.5000,39401.0870,0.5671,0.7141,2021-09-07,52588.5000,52858.0000,42330.0000,46839.5000,129172.7790,-10.9320
2022-01-20,41683.5000,43482.0000,40600.0000,40702.0000,81535.4410,0.3406,1.4183,2022-01-21,40702.0000,41111.0000,35378.0000,36442.5000,162167.6280,-10.4651
2022-02-03,36887.0000,37425.0000,36200.5000,37291.5000,62389.2780,0.3303,0.8042,2022-02-04,37291.5000,41769.0000,37015.0000,41548.5000,103204.4170,11.4155
2022-02-27,39094.5000,39892.5000,36922.0000,37665.0000,113682.7460,0.4812,1.3172,2022-02-28,37665.0000,44347.5000,37435.0000,43150.5000,136475.6730,14.5639
2022-05-08,35462.0000,35498.5000,33666.0000,34032.5000,129476.0140,0.7801,1.3152,2022-05-09,34032.5000,34258.0000,30018.0000,30063.5000,348620.3250,-11.6624
2022-06-12,28420.0000,28532.0000,26550.0000,26567.5000,208917.0680,0.9347,1.5118,2022-06-13,26567.5000,26885.0000,21909.5000,22476.5000,564582.3760,-15.3985
2022-08-18,23327.0000,23581.0000,23100.0000,23188.0000,95974.8790,0.2890,0.6662,2022-08-19,23188.0000,23198.0000,20754.5000,20819.0000,312308.0710,-10.2165
2022-09-08,19287.0000,19440.0000,19010.5000,19304.5000,164517.7020,0.0407,1.0000,2022-09-09,19304.5000,21666.0000,19284.5000,21350.5000,320042.6130,10.5986
2022-11-08,20582.5000,20672.0000,16800.0000,18537.0000,699512.4380,0.5283,4.2204,2022-11-09,18537.0000,18578.0000,15460.5000,15891.5000,558721.0940,-14.2715
2022-11-09,18537.0000,18578.0000,15460.5000,15891.5000,558721.0940,0.8486,3.0084,2022-11-10,15891.5000,18191.0000,15697.5000,17594.0000,399524.1260,10.7133
2023-10-22,29891.6000,30321.0000,29605.9000,29978.7000,78161.7790,0.1218,0.6551,2023-10-23,29978.7000,36743.5000,29875.0000,33092.9000,397499.8990,10.3880
2024-08-07,55989.8000,57762.5000,54517.7000,55109.5000,174213.4270,0.2713,1.1177,2024-08-08,55109.5000,62743.1000,54705.0000,61670.2000,223316.5030,11.9048
2024-11-10,76701.7000,81700.0000,76508.2000,80428.5000,203917.1670,0.7178,1.4840,2024-11-11,80428.5000,89828.0000,80267.8000,88765.4000,301879.5510,10.3656
